机型,日期,销量,月份,周数,index
OPPO A9,5.29-5.31,8504,5,23,1270291
OPPO A9,6.1-6.4,9496,6,23,1270291
OPPO A9,6.5-6.11,15942,6,24,1270291
OPPO A9,6.12-6.18,14746,6,25,1270291
OPPO A9,6.19-6.25,15672,6,26,1270291
OPPO A9,6.26-6.30,11011,6,27,1270291
OPPO A9,7.1-7.2,4881,7,27,1270291
OPPO A9,7.3-7.9,14694,7,28,1270291
OPPO A9,7.10-7.16,16232,7,29,1270291
OPPO A9,7.17-7.23,15698,7,30,1270291
OPPO A9,7.24-7.30,15248,7,31,1270291
OPPO A9,7.31-7.31,2178,7,32,1270291
OPPO A9,8.1-8.6,12585,8,32,1270291
OPPO A9,8.7-8.13,13635,8,33,1270291
OPPO A9,8.14-8.20,12268,8,34,1270291
OPPO A9,8.21-8.27,11077,8,35,1270291
OPPO A9,8.28-8.31,5537,8,36,1270291
OPPO A9,9.1-9.3,3649,9,36,1270291
OPPO A9,9.4-9.10,7205,9,37,1270291
OPPO A9,9.11-9.17,6382,9,38,1270291
OPPO A9,9.18-9.24,7306,9,39,1270291
OPPO A9,9.25-9.30,5142,9,40,1270291
OPPO A9,10.1,1061,10,40,1270291
OPPO A9,10.2-10.8,3882,10,41,1270291
OPPO A9,10.9-10.15,3572,10,42,1270291
OPPO A9,10.16-10.22,3539,10,43,1270291
OPPO A91,1.1-1.5,12512,1,1,1305852
OPPO A91,1.6-1.12,18167,1,2,1305852
OPPO A91,1.13-1.19,28548,1,3,1305852
OPPO A91,1.20-1.26,34819,1,4,1305852
OPPO A91,1.27-1.31,18812,1,5,1305852
OPPO A91,2.1-2.2,7659,2,5,1305852
OPPO A91,2.3-2.9,19707,2,6,1305852
OPPO A91,2.10-2.16,20145,2,7,1305852
OPPO A91,2.17-2.23,22568,2,8,1305852
OPPO A91,2.24-2.29,26028,2,9,1305852
OPPO A91,3.1-3.5,27887,3,10,1305852
OPPO A91,3.6-3.12,36465,3,11,1305852
OPPO A91,3.13-3.19,38689,3,12,1305852
OPPO A91,3.20-3.26,52309,3,13,1305852
OPPO A91,3.27-3.31,28518,3,14,1305852
OPPO A91,4.1-4.2,13285,4,14,1305852
OPPO A91,4.3-4.9,41421,4,15,1305852
OPPO A91,4.10-4.16,39684,4,16,1305852
OPPO A91,4.17-4.23,47402,4,17,1305852
OPPO A91,4.24-4.30,43419,4,18,1305852
OPPO A91,5.1-5.7,43872,5,19,1305852
OPPO A91,5.8-5.14,41424,5,20,1305852
OPPO A91,5.15-5.21,42746,5,21,1305852
OPPO A91,5.22-5.28,48873,5,22,1305852
OPPO A91,5.29-5.31,27389,5,23,1305852
OPPO A91,6.1-6.4,33912,6,23,1305852
OPPO A91,6.5-6.11,56473,6,24,1305852
OPPO A91,6.12-6.18,55696,6,25,1305852
OPPO A91,6.19-6.25,62550,6,26,1305852
OPPO A91,6.26-6.30,47610,6,27,1305852
OPPO A91,7.1-7.2,20593,7,27,1305852
OPPO A91,7.3-7.9,54616,7,28,1305852
OPPO A91,7.10-7.16,57842,7,29,1305852
OPPO A91,7.17-7.23,57163,7,30,1305852
OPPO A91,7.24-7.30,55512,7,31,1305852
OPPO A91,7.31-7.31,7930,7,32,1305852
OPPO A91,8.1-8.6,44782,8,32,1305852
OPPO A91,8.7-8.13,46229,8,33,1305852
OPPO A91,8.14-8.20,40141,8,34,1305852
OPPO A91,8.21-8.27,34186,8,35,1305852
OPPO A91,8.28-8.31,17372,8,36,1305852
OPPO A91,9.1-9.3,10915,9,36,1305852
OPPO A91,9.4-9.10,13505,9,37,1305852
OPPO A91,9.11-9.17,8199,9,38,1305852
OPPO A91,9.18-9.24,6311,9,39,1305852
OPPO A91,9.25-9.30,4945,9,40,1305852
OPPO A91,10.1,1433,10,40,1305852
OPPO A91,10.2-10.8,5256,10,41,1305852
OPPO A91,10.9-10.15,3586,10,42,1305852
OPPO A91,10.16-10.22,3648,10,43,1305852
OPPO A92s 5G,1.1-1.5,\,1,1,1318728
OPPO A92s 5G,1.6-1.12,\,1,2,1318728
OPPO A92s 5G,1.13-1.19,\,1,3,1318728
OPPO A92s 5G,1.20-1.26,\,1,4,1318728
OPPO A92s 5G,1.27-1.31,\,1,5,1318728
OPPO A92s 5G,2.1-2.2,\,2,5,1318728
OPPO A92s 5G,2.3-2.9,\,2,6,1318728
OPPO A92s 5G,2.10-2.16,\,2,7,1318728
OPPO A92s 5G,2.17-2.23,\,2,8,1318728
OPPO A92s 5G,2.24-2.29,\,2,9,1318728
OPPO A92s 5G,3.1-3.5,\,3,10,1318728
OPPO A92s 5G,3.6-3.12,\,3,11,1318728
OPPO A92s 5G,3.13-3.19,\,3,12,1318728
OPPO A92s 5G,3.20-3.26,\,3,13,1318728
OPPO A92s 5G,3.27-3.31,\,3,14,1318728
OPPO A92s 5G,4.1-4.2,\,4,14,1318728
OPPO A92s 5G,4.3-4.9,\,4,15,1318728
OPPO A92s 5G,4.10-4.16,\,4,16,1318728
OPPO A92s 5G,4.17-4.23,1888,4,17,1318728
OPPO A92s 5G,4.24-4.30,13342,4,18,1318728
OPPO A92s 5G,5.1-5.7,29912,5,19,1318728
OPPO A92s 5G,5.8-5.14,31172,5,20,1318728
OPPO A92s 5G,5.15-5.21,35472,5,21,1318728
OPPO A92s 5G,5.22-5.28,37974,5,22,1318728
OPPO A92s 5G,5.29-5.31,17759,5,23,1318728
OPPO A92s 5G,6.1-6.4,23670,6,23,1318728
OPPO A92s 5G,6.5-6.11,42912,6,24,1318728
OPPO A92s 5G,6.12-6.18,40580,6,25,1318728
OPPO A92s 5G,6.19-6.25,49781,6,26,1318728
OPPO A92s 5G,6.26-6.30,38078,6,27,1318728
OPPO A92s 5G,7.1-7.2,17019,7,27,1318728
OPPO A92s 5G,7.3-7.9,62250,7,28,1318728
OPPO A92s 5G,7.10-7.16,71447,7,29,1318728
OPPO A92s 5G,7.17-7.23,73785,7,30,1318728
OPPO A92s 5G,7.24-7.30,77432,7,31,1318728
OPPO A92s 5G,7.31-7.31,11062,7,32,1318728
OPPO A92s 5G,8.1-8.6,66679,8,32,1318728
OPPO A92s 5G,8.7-8.13,78704,8,33,1318728
OPPO A92s 5G,8.14-8.20,80747,8,34,1318728
OPPO A92s 5G,8.21-8.27,79175,8,35,1318728
OPPO A92s 5G,8.28-8.31,46011,8,36,1318728
OPPO A92s 5G,9.1-9.3,33989,9,36,1318728
OPPO A92s 5G,9.4-9.10,76817,9,37,1318728
OPPO A92s 5G,9.11-9.17,75613,9,38,1318728
OPPO A92s 5G,9.18-9.24,73767,9,39,1318728
OPPO A92s 5G,9.25-9.30,61540,9,40,1318728
OPPO A92s 5G,10.1,12310,10,40,1318728
OPPO A92s 5G,10.2-10.8,74661,10,41,1318728
OPPO A92s 5G,10.9-10.15,68836,10,42,1318728
OPPO A92s 5G,10.16-10.22,71403,10,43,1318728
OPPO A9x,1.1-1.5,73746,1,1,1273495
OPPO A9x,1.6-1.12,93889,1,2,1273495
OPPO A9x,1.13-1.19,79599,1,3,1273495
OPPO A9x,1.20-1.26,72942,1,4,1273495
OPPO A9x,1.27-1.31,39140,1,5,1273495
OPPO A9x,2.1-2.2,15233,2,5,1273495
OPPO A9x,2.3-2.9,41929,2,6,1273495
OPPO A9x,2.10-2.16,34921,2,7,1273495
OPPO A9x,2.17-2.23,29460,2,8,1273495
OPPO A9x,2.24-2.29,25620,2,9,1273495
OPPO A9x,3.1-3.5,23414,3,10,1273495
OPPO A9x,3.6-3.12,29778,3,11,1273495
OPPO A9x,3.13-3.19,35739,3,12,1273495
OPPO A9x,3.20-3.26,58914,3,13,1273495
OPPO A9x,3.27-3.31,22191,3,14,1273495
OPPO A9x,4.1-4.2,8511,4,14,1273495
OPPO A9x,4.3-4.9,26548,4,15,1273495
OPPO A9x,4.10-4.16,21715,4,16,1273495
OPPO A9x,4.17-4.23,19954,4,17,1273495
OPPO A9x,4.24-4.30,18340,4,18,1273495
OPPO A9x,5.1-5.7,16864,5,19,1273495
OPPO A9x,5.8-5.14,16622,5,20,1273495
OPPO A9x,5.15-5.21,14616,5,21,1273495
OPPO A9x,5.22-5.28,13693,5,22,1273495
OPPO A9x,5.29-5.31,6879,5,23,1273495
OPPO A9x,6.1-6.4,7922,6,23,1273495
OPPO A9x,6.5-6.11,12962,6,24,1273495
OPPO A9x,6.12-6.18,11765,6,25,1273495
OPPO A9x,6.19-6.25,12467,6,26,1273495
OPPO A9x,6.26-6.30,8654,6,27,1273495
OPPO A9x,7.1-7.2,3983,7,27,1273495
OPPO A9x,7.3-7.9,11330,7,28,1273495
OPPO A9x,7.10-7.16,12362,7,29,1273495
OPPO A9x,7.17-7.23,11582,7,30,1273495
OPPO A9x,7.24-7.30,11015,7,31,1273495
OPPO A9x,7.31-7.31,1574,7,32,1273495
OPPO A9x,8.1-8.6,9508,8,32,1273495
OPPO A9x,8.7-8.13,9883,8,33,1273495
OPPO A9x,8.14-8.20,8708,8,34,1273495
OPPO A9x,8.21-8.27,7710,8,35,1273495
OPPO A9x,8.28-8.31,3862,8,36,1273495
OPPO A9x,9.1-9.3,2563,9,36,1273495
OPPO A9x,9.4-9.10,4443,9,37,1273495
OPPO A9x,9.11-9.17,4002,9,38,1273495
OPPO A9x,9.18-9.24,3590,9,39,1273495
OPPO A9x,9.25-9.30,2243,9,40,1273495
OPPO A9x,10.1,619,10,40,1273495
OPPO A9x,10.2-10.8,2028,10,41,1273495
OPPO A9x,10.9-10.15,1288,10,42,1273495
OPPO A9x,10.16-10.22,1390,10,43,1273495
OPPO Ace2,1.1-1.5,\,1,1,1318293
OPPO Ace2,1.6-1.12,\,1,2,1318293
OPPO Ace2,1.13-1.19,\,1,3,1318293
OPPO Ace2,1.20-1.26,\,1,4,1318293
OPPO Ace2,1.27-1.31,\,1,5,1318293
OPPO Ace2,2.1-2.2,\,2,5,1318293
OPPO Ace2,2.3-2.9,\,2,6,1318293
OPPO Ace2,2.10-2.16,\,2,7,1318293
OPPO Ace2,2.17-2.23,\,2,8,1318293
OPPO Ace2,2.24-2.29,\,2,9,1318293
OPPO Ace2,3.1-3.5,\,3,10,1318293
OPPO Ace2,3.6-3.12,\,3,11,1318293
OPPO Ace2,3.13-3.19,\,3,12,1318293
OPPO Ace2,3.20-3.26,\,3,13,1318293
OPPO Ace2,3.27-3.31,\,3,14,1318293
OPPO Ace2,4.1-4.2,\,4,14,1318293
OPPO Ace2,4.3-4.9,\,4,15,1318293
OPPO Ace2,4.10-4.16,\,4,16,1318293
OPPO Ace2,4.17-4.23,6978,4,17,1318293
OPPO Ace2,4.24-4.30,8773,4,18,1318293
OPPO Ace2,5.1-5.7,9297,5,19,1318293
OPPO Ace2,5.8-5.14,9896,5,20,1318293
OPPO Ace2,5.15-5.21,9233,5,21,1318293
OPPO Ace2,5.22-5.28,9313,5,22,1318293
OPPO Ace2,5.29-5.31,3759,5,23,1318293
OPPO Ace2,6.1-6.4,7517,6,23,1318293
OPPO Ace2,6.5-6.11,11947,6,24,1318293
OPPO Ace2,6.12-6.18,10655,6,25,1318293
OPPO Ace2,6.19-6.25,11379,6,26,1318293
OPPO Ace2,6.26-6.30,7387,6,27,1318293
OPPO Ace2,7.1-7.2,3206,7,27,1318293
OPPO Ace2,7.3-7.9,11368,7,28,1318293
OPPO Ace2,7.10-7.16,12518,7,29,1318293
OPPO Ace2,7.17-7.23,12195,7,30,1318293
OPPO Ace2,7.24-7.30,13296,7,31,1318293
OPPO Ace2,7.31-7.31,1899,7,32,1318293
OPPO Ace2,8.1-8.6,11157,8,32,1318293
OPPO Ace2,8.7-8.13,12837,8,33,1318293
OPPO Ace2,8.14-8.20,12829,8,34,1318293
OPPO Ace2,8.21-8.27,12800,8,35,1318293
OPPO Ace2,8.28-8.31,7080,8,36,1318293
OPPO Ace2,9.1-9.3,5455,9,36,1318293
OPPO Ace2,9.4-9.10,12353,9,37,1318293
OPPO Ace2,9.11-9.17,12784,9,38,1318293
OPPO Ace2,9.18-9.24,12481,9,39,1318293
OPPO Ace2,9.25-9.30,11084,9,40,1318293
OPPO Ace2,10.1,1952,10,40,1318293
OPPO Ace2,10.2-10.8,13281,10,41,1318293
OPPO Ace2,10.9-10.15,13612,10,42,1318293
OPPO Ace2,10.16-10.22,13660,10,43,1318293
OPPO Find X,1.1-1.5,4995,1,1,1213467
OPPO Find X,1.6-1.12,7430,1,2,1213467
OPPO Find X,1.13-1.19,18673,1,3,1213467
OPPO Find X,1.20-1.26,19876,1,4,1213467
OPPO Find X,1.27-1.31,15585,1,5,1213467
OPPO Find X,2.1-2.2,3566,2,5,1213467
OPPO Find X,2.3-2.9,12944,2,6,1213467
OPPO Find X,2.10-2.16,12896,2,7,1213467
OPPO Find X,2.17-2.23,12584,2,8,1213467
OPPO Find X,2.24-2.29,12097,2,9,1213467
OPPO Find X,3.1-3.5,9035,3,10,1213467
OPPO Find X,3.6-3.12,12762,3,11,1213467
OPPO Find X,3.13-3.19,11345,3,12,1213467
OPPO Find X,3.20-3.26,8756,3,13,1213467
OPPO Find X,3.27-3.31,6029,3,14,1213467
OPPO Find X,4.1-4.2,1685,4,14,1213467
OPPO Find X,4.3-4.9,5847,4,15,1213467
OPPO Find X,4.10-4.16,5787,4,16,1213467
OPPO Find X,4.17-4.23,4397,4,17,1213467
OPPO Find X,4.24-4.30,3690,4,18,1213467
OPPO Find X,5.1-5.7,3207,5,19,1213467
OPPO Find X,5.8-5.14,3317,5,20,1213467
OPPO Find X,5.15-5.21,2503,5,21,1213467
OPPO Find X,5.22-5.28,2046,5,22,1213467
OPPO Find X,5.29-5.31,969,5,23,1213467
OPPO Find X,6.1-6.4,1153,6,23,1213467
OPPO Find X,6.5-6.11,1829,6,24,1213467
OPPO Find X,6.12-6.18,2226,6,25,1213467
OPPO Find X,6.19-6.25,2151,6,26,1213467
OPPO Find X,6.26-6.30,1646,6,27,1213467
OPPO Find X,7.1-7.2,873,7,27,1213467
OPPO Find X,7.3-7.9,3167,7,28,1213467
OPPO Find X,7.10-7.16,2392,7,29,1213467
OPPO Find X,7.17-7.23,1418,7,30,1213467
OPPO Find X,7.24-7.30,1220,7,31,1213467
OPPO Find X,7.31-7.31,174,7,32,1213467
OPPO Find X,8.1-8.6,3574,8,32,1213467
OPPO Find X,8.7-8.13,1952,8,33,1213467
OPPO Find X,8.14-8.20,1317,8,34,1213467
OPPO Find X,8.21-8.27,1422,8,35,1213467
OPPO Find X,8.28-8.31,1067,8,36,1213467
OPPO Find X,9.1-9.3,611,9,36,1213467
OPPO Find X,9.4-9.10,1613,9,37,1213467
OPPO Find X,9.11-9.17,2219,9,38,1213467
OPPO Find X,9.18-9.24,3049,9,39,1213467
OPPO Find X,9.25-9.30,2059,9,40,1213467
OPPO Find X,10.1,258,10,40,1213467
OPPO Find X,10.2-10.8,1333,10,41,1213467
OPPO Find X,10.9-10.15,2199,10,42,1213467
OPPO Find X,10.16-10.22,2082,10,43,1213467
OPPO Find X2,1.1-1.5,\,1,1,1313856
OPPO Find X2,1.6-1.12,\,1,2,1313856
OPPO Find X2,1.13-1.19,\,1,3,1313856
OPPO Find X2,1.20-1.26,\,1,4,1313856
OPPO Find X2,1.27-1.31,\,1,5,1313856
OPPO Find X2,2.1-2.2,\,2,5,1313856
OPPO Find X2,2.3-2.9,\,2,6,1313856
OPPO Find X2,2.10-2.16,\,2,7,1313856
OPPO Find X2,2.17-2.23,\,2,8,1313856
OPPO Find X2,2.24-2.29,\,2,9,1313856
OPPO Find X2,3.1-3.5,\,3,10,1313856
OPPO Find X2,3.6-3.12,1053,3,11,1313856
OPPO Find X2,3.13-3.19,5616,3,12,1313856
OPPO Find X2,3.20-3.26,5678,3,13,1313856
OPPO Find X2,3.27-3.31,4537,3,14,1313856
OPPO Find X2,4.1-4.2,1843,4,14,1313856
OPPO Find X2,4.3-4.9,7649,4,15,1313856
OPPO Find X2,4.10-4.16,7521,4,16,1313856
OPPO Find X2,4.17-4.23,8207,4,17,1313856
OPPO Find X2,4.24-4.30,7739,4,18,1313856
OPPO Find X2,5.1-5.7,7798,5,19,1313856
OPPO Find X2,5.8-5.14,7934,5,20,1313856
OPPO Find X2,5.15-5.21,7706,5,21,1313856
OPPO Find X2,5.22-5.28,7229,5,22,1313856
OPPO Find X2,5.29-5.31,2919,5,23,1313856
OPPO Find X2,6.1-6.4,4476,6,23,1313856
OPPO Find X2,6.5-6.11,7593,6,24,1313856
OPPO Find X2,6.12-6.18,7759,6,25,1313856
OPPO Find X2,6.19-6.25,7542,6,26,1313856
OPPO Find X2,6.26-6.30,5339,6,27,1313856
OPPO Find X2,7.1-7.2,2573,7,27,1313856
OPPO Find X2,7.3-7.9,8822,7,28,1313856
OPPO Find X2,7.10-7.16,11446,7,29,1313856
OPPO Find X2,7.17-7.23,11178,7,30,1313856
OPPO Find X2,7.24-7.30,11934,7,31,1313856
OPPO Find X2,7.31-7.31,1705,7,32,1313856
OPPO Find X2,8.1-8.6,10433,8,32,1313856
OPPO Find X2,8.7-8.13,12467,8,33,1313856
OPPO Find X2,8.14-8.20,12885,8,34,1313856
OPPO Find X2,8.21-8.27,13523,8,35,1313856
OPPO Find X2,8.28-8.31,8531,8,36,1313856
OPPO Find X2,9.1-9.3,6422,9,36,1313856
OPPO Find X2,9.4-9.10,15077,9,37,1313856
OPPO Find X2,9.11-9.17,14691,9,38,1313856
OPPO Find X2,9.18-9.24,14739,9,39,1313856
OPPO Find X2,9.25-9.30,13192,9,40,1313856
OPPO Find X2,10.1,2359,10,40,1313856
OPPO Find X2,10.2-10.8,15228,10,41,1313856
OPPO Find X2,10.9-10.15,15982,10,42,1313856
OPPO Find X2,10.16-10.22,16205,10,43,1313856
OPPO Find X2 Pro,1.1-1.5,\,1,1,1313854
OPPO Find X2 Pro,1.6-1.12,\,1,2,1313854
OPPO Find X2 Pro,1.13-1.19,\,1,3,1313854
OPPO Find X2 Pro,1.20-1.26,\,1,4,1313854
OPPO Find X2 Pro,1.27-1.31,\,1,5,1313854
OPPO Find X2 Pro,2.1-2.2,\,2,5,1313854
OPPO Find X2 Pro,2.3-2.9,\,2,6,1313854
OPPO Find X2 Pro,2.10-2.16,\,2,7,1313854
OPPO Find X2 Pro,2.17-2.23,\,2,8,1313854
OPPO Find X2 Pro,2.24-2.29,\,2,9,1313854
OPPO Find X2 Pro,3.1-3.5,\,3,10,1313854
OPPO Find X2 Pro,3.6-3.12,\,3,11,1313854
OPPO Find X2 Pro,3.13-3.19,2251,3,12,1313854
OPPO Find X2 Pro,3.20-3.26,2898,3,13,1313854
OPPO Find X2 Pro,3.27-3.31,2733,3,14,1313854
OPPO Find X2 Pro,4.1-4.2,1225,4,14,1313854
OPPO Find X2 Pro,4.3-4.9,5185,4,15,1313854
OPPO Find X2 Pro,4.10-4.16,4994,4,16,1313854
OPPO Find X2 Pro,4.17-4.23,5706,4,17,1313854
OPPO Find X2 Pro,4.24-4.30,5338,4,18,1313854
OPPO Find X2 Pro,5.1-5.7,5432,5,19,1313854
OPPO Find X2 Pro,5.8-5.14,5221,5,20,1313854
OPPO Find X2 Pro,5.15-5.21,5311,5,21,1313854
OPPO Find X2 Pro,5.22-5.28,5141,5,22,1313854
OPPO Find X2 Pro,5.29-5.31,2043,5,23,1313854
OPPO Find X2 Pro,6.1-6.4,3244,6,23,1313854
OPPO Find X2 Pro,6.5-6.11,5850,6,24,1313854
OPPO Find X2 Pro,6.12-6.18,6047,6,25,1313854
OPPO Find X2 Pro,6.19-6.25,5928,6,26,1313854
OPPO Find X2 Pro,6.26-6.30,4269,6,27,1313854
OPPO Find X2 Pro,7.1-7.2,1935,7,27,1313854
OPPO Find X2 Pro,7.3-7.9,6897,7,28,1313854
OPPO Find X2 Pro,7.10-7.16,9778,7,29,1313854
OPPO Find X2 Pro,7.17-7.23,9811,7,30,1313854
OPPO Find X2 Pro,7.24-7.30,11109,7,31,1313854
OPPO Find X2 Pro,7.31-7.31,1587,7,32,1313854
OPPO Find X2 Pro,8.1-8.6,9197,8,32,1313854
OPPO Find X2 Pro,8.7-8.13,10824,8,33,1313854
OPPO Find X2 Pro,8.14-8.20,11255,8,34,1313854
OPPO Find X2 Pro,8.21-8.27,11088,8,35,1313854
OPPO Find X2 Pro,8.28-8.31,6444,8,36,1313854
OPPO Find X2 Pro,9.1-9.3,4911,9,36,1313854
OPPO Find X2 Pro,9.4-9.10,11249,9,37,1313854
OPPO Find X2 Pro,9.11-9.17,11008,9,38,1313854
OPPO Find X2 Pro,9.18-9.24,10769,9,39,1313854
OPPO Find X2 Pro,9.25-9.30,9465,9,40,1313854
OPPO Find X2 Pro,10.1,1679,10,40,1313854
OPPO Find X2 Pro,10.2-10.8,10526,10,41,1313854
OPPO Find X2 Pro,10.9-10.15,10808,10,42,1313854
OPPO Find X2 Pro,10.16-10.22,10866,10,43,1313854
OPPO Find X兰博基尼版,1.1-1.5,668,1,1,1220645
OPPO Find X兰博基尼版,1.6-1.12,681,1,2,1220645
OPPO Find X兰博基尼版,1.13-1.19,581,1,3,1220645
OPPO Find X兰博基尼版,1.20-1.26,420,1,4,1220645
OPPO Find X兰博基尼版,1.27-1.31,253,1,5,1220645
OPPO Find X兰博基尼版,2.1-2.2,79,2,5,1220645
OPPO Find X兰博基尼版,2.3-2.9,244,2,6,1220645
OPPO Find X兰博基尼版,2.10-2.16,186,2,7,1220645
OPPO Find X兰博基尼版,2.17-2.23,168,2,8,1220645
OPPO Find X兰博基尼版,2.24-2.29,163,2,9,1220645
OPPO Find X兰博基尼版,3.1-3.5,181,3,10,1220645
OPPO Find X兰博基尼版,3.6-3.12,243,3,11,1220645
OPPO Find X兰博基尼版,3.13-3.19,226,3,12,1220645
OPPO Find X兰博基尼版,3.20-3.26,349,3,13,1220645
OPPO Find X兰博基尼版,3.27-3.31,181,3,14,1220645
OPPO Find X兰博基尼版,4.1-4.2,87,4,14,1220645
OPPO Find X兰博基尼版,4.3-4.9,372,4,15,1220645
OPPO Find X兰博基尼版,4.10-4.16,338,4,16,1220645
OPPO Find X兰博基尼版,4.17-4.23,300,4,17,1220645
OPPO Find X兰博基尼版,4.24-4.30,151,4,18,1220645
OPPO Find X兰博基尼版,5.1-5.7,137,5,19,1220645
OPPO Find X兰博基尼版,5.8-5.14,146,5,20,1220645
OPPO Find X兰博基尼版,5.15-5.21,111,5,21,1220645
OPPO Find X兰博基尼版,5.22-5.28,70,5,22,1220645
OPPO Find X兰博基尼版,5.29-5.31,39,5,23,1220645
OPPO Find X兰博基尼版,6.1-6.4,35,6,23,1220645
OPPO Find X兰博基尼版,6.5-6.11,63,6,24,1220645
OPPO Find X兰博基尼版,6.12-6.18,54,6,25,1220645
OPPO Find X兰博基尼版,6.19-6.25,29,6,26,1220645
OPPO Find X兰博基尼版,6.26-6.30,39,6,27,1220645
OPPO Find X兰博基尼版,7.1-7.2,19,7,27,1220645
OPPO Find X兰博基尼版,7.3-7.9,44,7,28,1220645
OPPO Find X兰博基尼版,7.10-7.16,67,7,29,1220645
OPPO Find X兰博基尼版,7.17-7.23,45,7,30,1220645
OPPO Find X兰博基尼版,7.24-7.30,38,7,31,1220645
OPPO Find X兰博基尼版,7.31-7.31,5,7,32,1220645
OPPO Find X兰博基尼版,8.1-8.6,38,8,32,1220645
OPPO Find X兰博基尼版,8.7-8.13,38,8,33,1220645
OPPO Find X兰博基尼版,8.14-8.20,21,8,34,1220645
OPPO Find X兰博基尼版,8.21-8.27,30,8,35,1220645
OPPO Find X兰博基尼版,8.28-8.31,6,8,36,1220645
OPPO Find X兰博基尼版,9.1-9.3,11,9,36,1220645
OPPO Find X兰博基尼版,9.4-9.10,15,9,37,1220645
OPPO Find X兰博基尼版,9.11-9.17,20,9,38,1220645
OPPO Find X兰博基尼版,9.18-9.24,20,9,39,1220645
OPPO Find X兰博基尼版,9.25-9.30,8,9,40,1220645
OPPO Find X兰博基尼版,10.1,1,10,40,1220645
OPPO Find X兰博基尼版,10.2-10.8,8,10,41,1220645
OPPO Find X兰博基尼版,10.9-10.15,17,10,42,1220645
OPPO Find X兰博基尼版,10.16-10.22,11,10,43,1220645
OPPO K1,1.1-1.5,7883,1,1,1233423
OPPO K1,1.6-1.12,9971,1,2,1233423
OPPO K1,1.13-1.19,8892,1,3,1233423
OPPO K1,1.20-1.26,8643,1,4,1233423
OPPO K1,1.27-1.31,4731,1,5,1233423
OPPO K1,2.1-2.2,1735,2,5,1233423
OPPO K1,2.3-2.9,4852,2,6,1233423
OPPO K1,2.10-2.16,4000,2,7,1233423
OPPO K1,2.17-2.23,3597,2,8,1233423
OPPO K1,2.24-2.29,3161,2,9,1233423
OPPO K1,3.1-3.5,2743,3,10,1233423
OPPO K1,3.6-3.12,3704,3,11,1233423
OPPO K1,3.13-3.19,5252,3,12,1233423
OPPO K1,3.20-3.26,14153,3,13,1233423
OPPO K1,3.27-3.31,7904,3,14,1233423
OPPO K1,4.1-4.2,2319,4,14,1233423
OPPO K1,4.3-4.9,7235,4,15,1233423
OPPO K1,4.10-4.16,7263,4,16,1233423
OPPO K1,4.17-4.23,6801,4,17,1233423
OPPO K1,4.24-4.30,8398,4,18,1233423
OPPO K1,5.1-5.7,18075,5,19,1233423
OPPO K1,5.8-5.14,17342,5,20,1233423
OPPO K1,5.15-5.21,12608,5,21,1233423
OPPO K1,5.22-5.28,13077,5,22,1233423
OPPO K1,5.29-5.31,4813,5,23,1233423
OPPO K1,6.1-6.4,10063,6,23,1233423
OPPO K1,6.5-6.11,12756,6,24,1233423
OPPO K1,6.12-6.18,12656,6,25,1233423
OPPO K1,6.19-6.25,17104,6,26,1233423
OPPO K1,6.26-6.30,17638,6,27,1233423
OPPO K1,7.1-7.2,6213,7,27,1233423
OPPO K1,7.3-7.9,15908,7,28,1233423
OPPO K1,7.10-7.16,13015,7,29,1233423
OPPO K1,7.17-7.23,13177,7,30,1233423
OPPO K1,7.24-7.30,12019,7,31,1233423
OPPO K1,7.31-7.31,1717,7,32,1233423
OPPO K1,8.1-8.6,9513,8,32,1233423
OPPO K1,8.7-8.13,13132,8,33,1233423
OPPO K1,8.14-8.20,9817,8,34,1233423
OPPO K1,8.21-8.27,8860,8,35,1233423
OPPO K1,8.28-8.31,5381,8,36,1233423
OPPO K1,9.1-9.3,4024,9,36,1233423
OPPO K1,9.4-9.10,9427,9,37,1233423
OPPO K1,9.11-9.17,13247,9,38,1233423
OPPO K1,9.18-9.24,11867,9,39,1233423
OPPO K1,9.25-9.30,7499,9,40,1233423
OPPO K1,10.1,1142,10,40,1233423
OPPO K1,10.2-10.8,7019,10,41,1233423
OPPO K1,10.9-10.15,7069,10,42,1233423
OPPO K1,10.16-10.22,5660,10,43,1233423
OPPO K3,1.1-1.5,18073,1,1,1249492
OPPO K3,1.6-1.12,20726,1,2,1249492
OPPO K3,1.13-1.19,17188,1,3,1249492
OPPO K3,1.20-1.26,15605,1,4,1249492
OPPO K3,1.27-1.31,8513,1,5,1249492
OPPO K3,2.1-2.2,3127,2,5,1249492
OPPO K3,2.3-2.9,8356,2,6,1249492
OPPO K3,2.10-2.16,6681,2,7,1249492
OPPO K3,2.17-2.23,5488,2,8,1249492
OPPO K3,2.24-2.29,4787,2,9,1249492
OPPO K3,3.1-3.5,4392,3,10,1249492
OPPO K3,3.6-3.12,5686,3,11,1249492
OPPO K3,3.13-3.19,6501,3,12,1249492
OPPO K3,3.20-3.26,10693,3,13,1249492
OPPO K3,3.27-3.31,3997,3,14,1249492
OPPO K3,4.1-4.2,1533,4,14,1249492
OPPO K3,4.3-4.9,4938,4,15,1249492
OPPO K3,4.10-4.16,4207,4,16,1249492
OPPO K3,4.17-4.23,4395,4,17,1249492
OPPO K3,4.24-4.30,3698,4,18,1249492
OPPO K3,5.1-5.7,3543,5,19,1249492
