机型,日期,销量,月份,周数,index
OPPO A7x,6.26-6.30,5980,6,27,1230724
OPPO A7x,7.1-7.2,3341,7,27,1230724
OPPO A7x,7.3-7.9,10958,7,28,1230724
OPPO A7x,7.10-7.16,10082,7,29,1230724
OPPO A7x,7.17-7.23,9750,7,30,1230724
OPPO A7x,7.24-7.30,6738,7,31,1230724
OPPO A7x,7.31-7.31,963,7,32,1230724
OPPO A7x,8.1-8.6,5883,8,32,1230724
OPPO A7x,8.7-8.13,6577,8,33,1230724
OPPO A7x,8.14-8.20,6155,8,34,1230724
OPPO A7x,8.21-8.27,6114,8,35,1230724
OPPO A7x,8.28-8.31,3553,8,36,1230724
OPPO A7x,9.1-9.3,2615,9,36,1230724
OPPO A7x,9.4-9.10,6152,9,37,1230724
OPPO A7x,9.11-9.17,5585,9,38,1230724
OPPO A7x,9.18-9.24,6893,9,39,1230724
OPPO A7x,9.25-9.30,5186,9,40,1230724
OPPO A7x,10.1,1079,10,40,1230724
OPPO A7x,10.2-10.8,5640,10,41,1230724
OPPO A7x,10.9-10.15,5027,10,42,1230724
OPPO A7x,10.16-10.22,4844,10,43,1230724
OPPO A8,1.1-1.5,13792,1,1,1305856
OPPO A8,1.6-1.12,25411,1,2,1305856
OPPO A8,1.13-1.19,46203,1,3,1305856
OPPO A8,1.20-1.26,67158,1,4,1305856
OPPO A8,1.27-1.31,36668,1,5,1305856
OPPO A8,2.1-2.2,13678,2,5,1305856
OPPO A8,2.3-2.9,35752,2,6,1305856
OPPO A8,2.10-2.16,35912,2,7,1305856
OPPO A8,2.17-2.23,41588,2,8,1305856
OPPO A8,2.24-2.29,48372,2,9,1305856
OPPO A8,3.1-3.5,50957,3,10,1305856
OPPO A8,3.6-3.12,65167,3,11,1305856
OPPO A8,3.13-3.19,69694,3,12,1305856
OPPO A8,3.20-3.26,95891,3,13,1305856
OPPO A8,3.27-3.31,62777,3,14,1305856
OPPO A8,4.1-4.2,30461,4,14,1305856
OPPO A8,4.3-4.9,105046,4,15,1305856
OPPO A8,4.10-4.16,99628,4,16,1305856
OPPO A8,4.17-4.23,103843,4,17,1305856
OPPO A8,4.24-4.30,97812,4,18,1305856
OPPO A8,5.1-5.7,115366,5,19,1305856
OPPO A8,5.8-5.14,109826,5,20,1305856
OPPO A8,5.15-5.21,108668,5,21,1305856
OPPO A8,5.22-5.28,113564,5,22,1305856
OPPO A8,5.29-5.31,65067,5,23,1305856
OPPO A8,6.1-6.4,69677,6,23,1305856
OPPO A8,6.5-6.11,119212,6,24,1305856
OPPO A8,6.12-6.18,110328,6,25,1305856
OPPO A8,6.19-6.25,130478,6,26,1305856
OPPO A8,6.26-6.30,99507,6,27,1305856
OPPO A8,7.1-7.2,42362,7,27,1305856
OPPO A8,7.3-7.9,123301,7,28,1305856
OPPO A8,7.10-7.16,136059,7,29,1305856
OPPO A8,7.17-7.23,142542,7,30,1305856
OPPO A8,7.24-7.30,146399,7,31,1305856
OPPO A8,7.31-7.31,20914,7,32,1305856
OPPO A8,8.1-8.6,131689,8,32,1305856
OPPO A8,8.7-8.13,149394,8,33,1305856
OPPO A8,8.14-8.20,145009,8,34,1305856
OPPO A8,8.21-8.27,141067,8,35,1305856
OPPO A8,8.28-8.31,88517,8,36,1305856
OPPO A8,9.1-9.3,58749,9,36,1305856
OPPO A8,9.4-9.10,120124,9,37,1305856
OPPO A8,9.11-9.17,118875,9,38,1305856
OPPO A8,9.18-9.24,108079,9,39,1305856
OPPO A8,9.25-9.30,94805,9,40,1305856
OPPO A8,10.1,34427,10,40,1305856
OPPO A8,10.2-10.8,145871,10,41,1305856
OPPO A8,10.9-10.15,95880,10,42,1305856
OPPO A8,10.16-10.22,101506,10,43,1305856
OPPO A9,1.1-1.5,77469,1,1,1270291
OPPO A9,1.6-1.12,102492,1,2,1270291
OPPO A9,1.13-1.19,85868,1,3,1270291
OPPO A9,1.20-1.26,82220,1,4,1270291
OPPO A9,1.27-1.31,45042,1,5,1270291
OPPO A9,2.1-2.2,16794,2,5,1270291
OPPO A9,2.3-2.9,47588,2,6,1270291
OPPO A9,2.10-2.16,39125,2,7,1270291
OPPO A9,2.17-2.23,32123,2,8,1270291
OPPO A9,2.24-2.29,27175,2,9,1270291
OPPO A9,3.1-3.5,24711,3,10,1270291
OPPO A9,3.6-3.12,31408,3,11,1270291
OPPO A9,3.13-3.19,39335,3,12,1270291
OPPO A9,3.20-3.26,71541,3,13,1270291
OPPO A9,3.27-3.31,25797,3,14,1270291
OPPO A9,4.1-4.2,9639,4,14,1270291
OPPO A9,4.3-4.9,31754,4,15,1270291
OPPO A9,4.10-4.16,25043,4,16,1270291
OPPO A9,4.17-4.23,23649,4,17,1270291
OPPO A9,4.24-4.30,22244,4,18,1270291
OPPO A9,5.1-5.7,20946,5,19,1270291
OPPO A9,5.8-5.14,20277,5,20,1270291
OPPO A9,5.15-5.21,18596,5,21,1270291
OPPO A9,5.22-5.28,17073,5,22,1270291
